"Time","C1","C2","C3","C4","C5"
"1451.9911","81.0","62.0","8.0","112958.0","128293.0"
"1452.0411","81.0","62.0","8.0","112992.0","128276.0"
"1452.0579","81.0","62.0","8.0","112863.0","128006.0"
"1452.0745","81.0","62.0","8.0","112848.0","127994.0"
"1452.1412","81.0","62.0","9.0","112822.0","127863.0"
"1452.1663","81.0","62.0","8.0","112803.0","127838.0"
"1452.2413","81.0","62.0","8.0","112782.0","127803.0"
"1452.2664","81.0","62.0","8.0","112785.0","127813.0"
"1452.2914","81.0","62.0","8.0","112798.0","127813.0"
"1452.3164","80.0","62.0","9.0","112760.0","127815.0"
"1452.3915","80.0","62.0","9.0","112767.0","127805.0"
"1452.4165","81.0","62.0","8.0","112787.0","127824.0"
"1452.4415","81.0","61.0","8.0","112761.0","127811.0"
"1452.4666","81.0","62.0","9.0","112770.0","127824.0"
"1452.4916","80.0","61.0","9.0","112788.0","127854.0"
"1452.5166","80.0","62.0","9.0","112788.0","127855.0"
"1452.5917","81.0","62.0","8.0","112729.0","127775.0"
"1452.6167","81.0","62.0","8.0","112736.0","127707.0"
"1452.6918","81.0","62.0","8.0","112691.0","127563.0"
"1452.7168","81.0","62.0","9.0","112673.0","127563.0"
"1452.7418","80.0","62.0","8.0","112654.0","127513.0"
"1452.7668","81.0","62.0","8.0","112653.0","127502.0"
"1452.892","80.0","62.0","9.0","112672.0","127533.0"
"1452.917","80.0","62.0","8.0","112673.0","127550.0"
"1452.9921","81.0","62.0","8.0","112665.0","127548.0"
"1453.0088","80.0","62.0","8.0","112685.0","127582.0"
"1453.0254","81.0","62.0","8.0","112690.0","127587.0"
"1453.0421","81.0","62.0","8.0","112683.0","127650.0"
"1453.0671","81.0","62.0","9.0","112696.0","127625.0"
"1453.0922","80.0","62.0","8.0","112719.0","127663.0"
"1453.1172","81.0","62.0","8.0","112738.0","127653.0"
"1453.1923","80.0","62.0","8.0","112715.0","127699.0"
"1453.2173","81.0","62.0","9.0","112735.0","127708.0"
"1453.2924","81.0","62.0","9.0","112764.0","127709.0"
"1453.3174","81.0","62.0","8.0","112734.0","127758.0"
"1453.3925","81.0","62.0","8.0","112759.0","127754.0"
"1453.4092","81.0","62.0","8.0","112754.0","127762.0"
"1453.4258","81.0","62.0","8.0","112758.0","127763.0"
"1453.5426","81.0","61.0","8.0","112746.0","127786.0"
"1453.5593","81.0","62.0","9.0","112759.0","127768.0"
"1453.5759","80.0","61.0","8.0","112770.0","127802.0"
"1453.6427","81.0","62.0","9.0","112755.0","127804.0"
"1453.6677","80.0","61.0","9.0","112779.0","127831.0"
"1453.6927","80.0","62.0","9.0","112777.0","127813.0"
"1453.7928","81.0","62.0","8.0","112796.0","127842.0"
"1453.8096","81.0","62.0","8.0","112784.0","127846.0"
"1453.8262","81.0","62.0","9.0","112708.0","127657.0"
"1453.8429","80.0","62.0","8.0","112714.0","127620.0"
"1453.8679","81.0","62.0","8.0","112647.0","127440.0"
"1453.943","80.0","61.0","9.0","112639.0","127422.0"
"1453.968","81.0","61.0","9.0","112607.0","127328.0"
"1454.0431","81.0","62.0","9.0","112593.0","127336.0"
"1454.0681","81.0","61.0","8.0","112606.0","127337.0"
"1454.0931","81.0","62.0","9.0","112616.0","127341.0"
"1454.1182","81.0","62.0","9.0","112594.0","127346.0"
"1454.1932","80.0","62.0","8.0","112595.0","127355.0"
"1454.2183","81.0","62.0","8.0","112601.0","127380.0"
"1454.2433","81.0","62.0","8.0","112609.0","127411.0"
"1454.2683","80.0","62.0","8.0","112626.0","127424.0"
"1454.2933","81.0","61.0","8.0","112642.0","127446.0"
"1454.3184","81.0","62.0","9.0","112639.0","127450.0"
"1454.3934","81.0","61.0","9.0","112658.0","127485.0"
"1454.4185","81.0","62.0","8.0","112658.0","127479.0"
"1454.4435","81.0","62.0","9.0","112668.0","127507.0"
"1454.4685","81.0","62.0","8.0","112670.0","127512.0"
"1454.5436","80.0","62.0","8.0","112661.0","127539.0"
"1454.5936","81.0","62.0","8.0","112673.0","127557.0"
"1454.6104","81.0","62.0","8.0","112689.0","127564.0"
"1454.627","80.0","62.0","8.0","112689.0","127564.0"
"1454.6937","81.0","61.0","8.0","112705.0","127602.0"
"1454.8439","81.0","61.0","9.0","112706.0","127627.0"
"1454.8606","81.0","62.0","9.0","112697.0","127655.0"
"1454.8772","81.0","62.0","8.0","112655.0","127488.0"
"1454.994","80.0","62.0","8.0","112605.0","127302.0"
"1455.0107","81.0","62.0","8.0","112569.0","127287.0"
"1455.0273","81.0","62.0","8.0","112549.0","127184.0"
"1455.0441","81.0","62.0","8.0","112551.0","127182.0"
"1455.0691","81.0","62.0","8.0","112568.0","127224.0"
"1455.1442","81.0","62.0","8.0","112575.0","127229.0"
"1455.1942","81.0","62.0","8.0","112561.0","127262.0"
"1455.2109","80.0","61.0","8.0","112563.0","127251.0"
"1455.2275","81.0","62.0","8.0","112591.0","127264.0"
"1455.2943","80.0","62.0","7.0","112589.0","127279.0"
"1455.3193","80.0","62.0","8.0","112603.0","127328.0"
"1455.4445","80.0","62.0","8.0","112606.0","127309.0"
"1455.4612","81.0","62.0","9.0","112615.0","127355.0"
"1455.4778","81.0","62.0","8.0","112616.0","127378.0"
"1455.5446","81.0","62.0","8.0","112643.0","127401.0"
"1455.5696","81.0","62.0","8.0","112649.0","127431.0"
"1455.5946","80.0","62.0","8.0","112650.0","127444.0"
"1455.6947","81.0","62.0","9.0","112632.0","127441.0"
"1455.7114","81.0","62.0","8.0","112673.0","127474.0"
"1455.728","81.0","63.0","8.0","112658.0","127471.0"
"1455.7448","81.0","61.0","8.0","112675.0","127504.0"
"1455.7698","81.0","62.0","8.0","112664.0","127528.0"
"1455.7948","81.0","62.0","8.0","112682.0","127519.0"
"1455.8198","81.0","62.0","8.0","112693.0","127534.0"
"1455.8949","81.0","61.0","9.0","112688.0","127555.0"
"1455.9199","81.0","61.0","9.0","112685.0","127573.0"
"1456.045","81.0","62.0","8.0","112606.0","127359.0"
"1456.1451","81.0","62.0","9.0","112598.0","127322.0"
"1456.1619","81.0","62.0","8.0","112558.0","127188.0"
"1456.1785","80.0","62.0","8.0","112554.0","127139.0"
"1456.1952","81.0","58.0","7.0","112529.0","127081.0"
"1456.2202","81.0","63.0","8.0","112516.0","127076.0"
"1456.2452","80.0","62.0","8.0","112549.0","127123.0"
"1456.2703","81.0","62.0","8.0","112540.0","127140.0"
"1456.3453","80.0","62.0","9.0","112539.0","127148.0"
"1456.3704","81.0","62.0","8.0","112570.0","127207.0"
"1456.3954","81.0","62.0","9.0","112572.0","127210.0"
"1456.4204","81.0","62.0","9.0","112583.0","127236.0"
"1456.4955","80.0","63.0","8.0","112585.0","127225.0"
"1456.5205","81.0","62.0","9.0","112600.0","127269.0"
"1456.5956","80.0","62.0","10.0","112598.0","127264.0"
"1456.6456","80.0","62.0","10.0","112625.0","127288.0"
"1456.6624","81.0","62.0","10.0","112613.0","127315.0"
"1456.679","80.0","61.0","10.0","112609.0","127332.0"
"1456.6957","81.0","62.0","9.0","112622.0","127332.0"
"1456.7207","80.0","62.0","9.0","112623.0","127355.0"
"1456.8458","80.0","62.0","9.0","112640.0","127383.0"
"1456.8625","81.0","62.0","9.0","112639.0","127378.0"
"1456.8792","80.0","62.0","8.0","112640.0","127393.0"
"1456.9459","81.0","62.0","9.0","112625.0","127327.0"
"1456.971","80.0","62.0","9.0","112549.0","127122.0"
"1456.996","81.0","62.0","10.0","112530.0","127083.0"
"1457.021","81.0","62.0","10.0","112492.0","126963.0"
"1457.0961","81.0","62.0","9.0","112483.0","126944.0"
"1457.1211","80.0","62.0","9.0","112475.0","126941.0"
"1457.1461","81.0","62.0","9.0","112485.0","126945.0"
"1457.1711","81.0","62.0","9.0","112504.0","126959.0"
"1457.2462","80.0","62.0","9.0","112492.0","126972.0"
"1457.2712","81.0","62.0","9.0","112505.0","126965.0"
"1457.3463","80.0","62.0","9.0","112496.0","126985.0"
"1457.3964","80.0","62.0","8.0","112513.0","127004.0"
"1457.4131","81.0","62.0","8.0","112520.0","127068.0"
"1457.4297","81.0","62.0","9.0","112264.0","126493.0"
"1457.4464","81.0","62.0","10.0","112229.0","126390.0"
"1457.4714","81.0","62.0","9.0","112155.0","126214.0"
"1457.5465","81.0","62.0","9.0","112145.0","126197.0"
"1457.5715","80.0","62.0","9.0","112141.0","126126.0"
"1457.5966","81.0","62.0","9.0","112122.0","126111.0"
"1457.6216","80.0","62.0","9.0","112115.0","126111.0"
"1457.6466","81.0","62.0","10.0","112112.0","126106.0"
"1457.6716","81.0","63.0","9.0","112133.0","126071.0"
"1457.7968","81.0","62.0","9.0","112106.0","126079.0"
"1457.8218","81.0","62.0","9.0","112110.0","126062.0"
"1457.8468","81.0","62.0","9.0","112116.0","126057.0"
"1457.8718","80.0","62.0","9.0","112073.0","125952.0"
"1457.8969","80.0","62.0","9.0","112043.0","125867.0"
"1457.9219","80.0","62.0","9.0","111953.0","125652.0"
"1457.997","80.0","63.0","9.0","111952.0","125635.0"
"1458.022","80.0","63.0","8.0","111933.0","125526.0"
"1458.1971","80.0","62.0","9.0","111906.0","125516.0"
"1458.2139","81.0","61.0","8.0","111932.0","125526.0"
"1458.2305","80.0","61.0","8.0","111911.0","125552.0"
"1458.3473","80.0","62.0","9.0","111932.0","125531.0"
"1458.364","81.0","62.0","9.0","111915.0","125539.0"
"1458.3806","81.0","62.0","9.0","111936.0","125558.0"
"1458.3973","81.0","62.0","9.0","111945.0","125578.0"
"1458.4224","81.0","62.0","9.0","111944.0","125581.0"
"1458.4974","81.0","62.0","9.0","111954.0","125622.0"
"1458.5225","81.0","62.0","9.0","111965.0","125627.0"
