"Time","C1","C2","C3","C4","C5"
"1241.3856","74.0","-43.0","-48.0","109683.0","104392.0"
"1241.4106","74.0","-43.0","-46.0","109694.0","104422.0"
"1241.4357","74.0","-43.0","-47.0","109775.0","104598.0"
"1241.4607","75.0","-43.0","-47.0","109780.0","104652.0"
"1241.5358","74.0","-43.0","-47.0","109853.0","104751.0"
"1241.5608","74.0","-43.0","-47.0","109848.0","104742.0"
"1241.5858","75.0","-43.0","-47.0","109899.0","104824.0"
"1241.6108","74.0","-43.0","-47.0","109882.0","104839.0"
"1241.6859","74.0","-43.0","-47.0","109970.0","104993.0"
"1241.7109","75.0","-43.0","-47.0","109973.0","105028.0"
"1241.736","74.0","-43.0","-47.0","110048.0","105173.0"
"1241.761","75.0","-44.0","-47.0","110127.0","105315.0"
"1241.8861","74.0","-43.0","-47.0","110127.0","105334.0"
"1241.9028","74.0","-43.0","-46.0","110177.0","105419.0"
"1241.9194","74.0","-43.0","-47.0","110196.0","105435.0"
"1242.0363","74.0","-44.0","-47.0","109800.0","104543.0"
"1242.0863","75.0","-43.0","-47.0","109742.0","104410.0"
"1242.103","75.0","-44.0","-47.0","109673.0","104292.0"
"1242.1196","74.0","-43.0","-47.0","109681.0","104277.0"
"1242.1864","74.0","-43.0","-47.0","109882.0","104651.0"
"1242.2114","74.0","-43.0","-47.0","109859.0","104659.0"
"1242.2865","74.0","-44.0","-48.0","109898.0","104738.0"
"1242.3115","74.0","-43.0","-47.0","109910.0","104759.0"
"1242.3365","74.0","-44.0","-48.0","109998.0","104913.0"
"1242.3616","75.0","-43.0","-47.0","110002.0","104972.0"
"1242.4366","74.0","-43.0","-47.0","110067.0","105123.0"
"1242.4617","75.0","-44.0","-47.0","110100.0","105147.0"
"1242.4867","74.0","-43.0","-47.0","110137.0","105224.0"
"1242.5117","74.0","-43.0","-47.0","110149.0","105255.0"
"1242.5868","74.0","-43.0","-47.0","110202.0","105364.0"
"1242.6118","74.0","-43.0","-47.0","110209.0","105374.0"
"1242.6368","74.0","-43.0","-47.0","110125.0","105165.0"
"1242.787","74.0","-43.0","-47.0","109782.0","104380.0"
"1242.8037","74.0","-43.0","-47.0","109744.0","104320.0"
"1242.8203","74.0","-43.0","-47.0","109685.0","104195.0"
"1242.9371","74.0","-43.0","-47.0","109672.0","104179.0"
"1242.9539","74.0","-43.0","-47.0","109688.0","104168.0"
"1242.9705","74.0","-44.0","-47.0","109688.0","104203.0"
"1243.0372","74.0","-44.0","-47.0","109796.0","104403.0"
"1243.0623","74.0","-43.0","-48.0","109802.0","104473.0"
"1243.1373","74.0","-43.0","-47.0","109861.0","104520.0"
"1243.1624","74.0","-43.0","-47.0","109845.0","104531.0"
"1243.2374","75.0","-43.0","-47.0","109898.0","104643.0"
"1243.2625","74.0","-43.0","-47.0","109918.0","104669.0"
"1243.3375","75.0","-43.0","-47.0","109995.0","104828.0"
"1243.3625","74.0","-43.0","-47.0","110013.0","104856.0"
"1243.3876","74.0","-44.0","-47.0","110083.0","105016.0"
"1243.4126","74.0","-43.0","-47.0","110160.0","105175.0"
"1243.4376","75.0","-44.0","-47.0","110172.0","105194.0"
"1243.4626","74.0","-43.0","-47.0","110205.0","105295.0"
"1243.5377","74.0","-43.0","-46.0","110248.0","105357.0"
"1243.5627","75.0","-43.0","-47.0","109848.0","104417.0"
"1243.6378","74.0","-43.0","-47.0","109758.0","104260.0"
"1243.6628","74.0","-43.0","-47.0","109677.0","104098.0"
"1243.6879","74.0","-44.0","-47.0","109698.0","104089.0"
"1243.7129","74.0","-44.0","-47.0","109679.0","104051.0"
"1243.7379","75.0","-44.0","-47.0","109686.0","104074.0"
"1243.763","74.0","-43.0","-47.0","109762.0","104277.0"
"1243.838","74.0","-43.0","-47.0","109789.0","104297.0"
"1243.863","73.0","-43.0","-47.0","109841.0","104415.0"
"1243.9381","74.0","-43.0","-47.0","109849.0","104423.0"
"1243.9631","75.0","-43.0","-46.0","109888.0","104515.0"
"1244.0382","74.0","-43.0","-47.0","109904.0","104547.0"
"1244.0549","74.0","-44.0","-48.0","109992.0","104681.0"
"1244.0715","74.0","-43.0","-47.0","110002.0","104731.0"
"1244.1383","74.0","-43.0","-48.0","110067.0","104866.0"
"1244.1633","74.0","-43.0","-47.0","110090.0","104905.0"
"1244.4386","74.0","-44.0","-47.0","110189.0","105124.0"
"1244.4553","75.0","-43.0","-47.0","110186.0","105149.0"
"1244.4719","74.0","-44.0","-48.0","110241.0","105232.0"
"1244.4886","74.0","-43.0","-47.0","109912.0","104421.0"
"1244.5137","74.0","-44.0","-47.0","109828.0","104288.0"
"1244.5887","74.0","-43.0","-47.0","109696.0","103965.0"
"1244.6138","74.0","-44.0","-48.0","109662.0","103952.0"
"1244.7389","74.0","-44.0","-48.0","109671.0","103917.0"
"1244.7556","74.0","-43.0","-47.0","109722.0","104082.0"
"1244.7722","74.0","-44.0","-47.0","109795.0","104224.0"
"1244.839","74.0","-43.0","-47.0","109811.0","104232.0"
"1244.889","74.0","-44.0","-48.0","109824.0","104244.0"
"1244.9141","74.0","-44.0","-46.0","109832.0","104291.0"
"1245.0392","74.0","-43.0","-48.0","109910.0","104420.0"
"1245.0559","74.0","-44.0","-47.0","109910.0","104443.0"
"1245.0725","73.0","-43.0","-47.0","109990.0","104563.0"
"1245.0892","74.0","-43.0","-46.0","109986.0","104613.0"
"1245.1143","74.0","-43.0","-47.0","110038.0","104677.0"
"1245.1893","74.0","-44.0","-47.0","110043.0","104718.0"
"1245.2144","74.0","-44.0","-46.0","110065.0","104792.0"
"1245.2894","74.0","-43.0","-47.0","110079.0","104838.0"
"1245.3145","74.0","-43.0","-46.0","110125.0","104877.0"
"1245.3395","74.0","-44.0","-47.0","110115.0","104875.0"
"1245.3645","74.0","-44.0","-46.0","109849.0","104200.0"
"1245.3895","74.0","-44.0","-47.0","109726.0","103948.0"
"1245.4896","74.0","-43.0","-47.0","109589.0","103666.0"
"1245.5063","74.0","-43.0","-47.0","109567.0","103676.0"
"1245.523","74.0","-44.0","-47.0","109577.0","103614.0"
"1245.5397","74.0","-44.0","-47.0","109557.0","103618.0"
"1245.5647","74.0","-43.0","-46.0","109626.0","103778.0"
"1245.6398","73.0","-43.0","-47.0","109711.0","103967.0"
"1245.6648","75.0","-43.0","-48.0","109746.0","103963.0"
"1245.7399","73.0","-44.0","-46.0","109757.0","104022.0"
"1245.7649","74.0","-43.0","-47.0","109761.0","104030.0"
"1245.7899","74.0","-44.0","-47.0","109841.0","104160.0"
"1245.815","74.0","-43.0","-48.0","110031.0","104579.0"
"1245.84","74.0","-43.0","-47.0","110026.0","104600.0"
"1245.9401","74.0","-44.0","-47.0","110071.0","104708.0"
"1245.9651","74.0","-44.0","-47.0","110071.0","104664.0"
"1246.0902","75.0","-44.0","-47.0","109772.0","103982.0"
"1246.1152","74.0","-43.0","-47.0","109722.0","103845.0"
"1246.1403","74.0","-43.0","-47.0","109537.0","103530.0"
"1246.1653","74.0","-43.0","-46.0","109504.0","103433.0"
"1246.4406","75.0","-43.0","-47.0","109509.0","103427.0"
"1246.4573","74.0","-43.0","-47.0","109538.0","103551.0"
"1246.4739","74.0","-44.0","-47.0","109594.0","103611.0"
"1246.5907","74.0","-43.0","-47.0","109659.0","103733.0"
"1246.6157","74.0","-44.0","-47.0","109676.0","103748.0"
"1246.6908","74.0","-43.0","-47.0","109772.0","103973.0"
"1246.7075","74.0","-44.0","-47.0","109791.0","103988.0"
"1246.7241","75.0","-43.0","-47.0","109853.0","104166.0"
"1246.7408","74.0","-43.0","-47.0","109872.0","104200.0"
"1246.7659","74.0","-43.0","-47.0","109938.0","104315.0"
"1246.841","74.0","-44.0","-48.0","109952.0","104335.0"
"1246.866","74.0","-43.0","-48.0","109983.0","104434.0"
