"Time","C1","C2","C3","C4","C5"
"895.20496","-58.0","22.0","85.0","101022.0","124492.0"
"895.25494","-57.0","22.0","85.0","100943.0","124340.0"
"895.2716","-57.0","22.0","84.0","100942.0","124323.0"
"895.28827","-58.0","22.0","85.0","100845.0","124199.0"
"895.3549","-57.0","23.0","84.0","100703.0","123944.0"
"895.4049","-57.0","23.0","86.0","100697.0","123910.0"
"895.4216","-57.0","22.0","83.0","100605.0","123742.0"
"895.43823","-57.0","21.0","85.0","100593.0","123733.0"
"895.5049","-57.0","22.0","86.0","100498.0","123581.0"
"895.5299","-58.0","22.0","85.0","100499.0","123556.0"
"895.5549","-57.0","23.0","84.0","100415.0","123432.0"
"895.57983","-57.0","23.0","85.0","100396.0","123422.0"
"895.60486","-58.0","22.0","85.0","100301.0","123306.0"
"895.6299","-57.0","22.0","85.0","100081.0","122926.0"
"895.70483","-57.0","22.0","84.0","100096.0","122907.0"
"895.72986","-57.0","22.0","85.0","100012.0","122802.0"
"895.8048","-57.0","22.0","85.0","99989.0","122777.0"
"895.82983","-58.0","23.0","84.0","99920.0","122676.0"
"895.8548","-58.0","21.0","85.0","99909.0","122659.0"
"895.87976","-58.0","21.0","87.0","99861.0","122559.0"
"895.9048","-58.0","22.0","85.0","99787.0","122460.0"
"895.9298","-57.0","22.0","86.0","99768.0","122442.0"
"896.00476","-57.0","23.0","83.0","99683.0","122245.0"
"896.0298","-57.0","23.0","83.0","99630.0","122198.0"
"896.10474","-58.0","22.0","86.0","99552.0","122067.0"
"896.12976","-57.0","22.0","85.0","99547.0","122059.0"
"896.1547","-57.0","22.0","86.0","99486.0","121976.0"
"896.1797","-57.0","22.0","85.0","99472.0","121934.0"
"896.2047","-58.0","21.0","85.0","99408.0","121868.0"
"896.22974","-58.0","21.0","84.0","99386.0","121859.0"
"896.3047","-56.0","22.0","85.0","99326.0","121791.0"
"896.3297","-57.0","22.0","86.0","99324.0","121764.0"
"896.3547","-57.0","21.0","86.0","99285.0","121700.0"
"896.40466","-57.0","21.0","86.0","99272.0","121681.0"
"896.45465","-57.0","22.0","85.0","99222.0","121648.0"
"896.4796","-57.0","22.0","85.0","99209.0","121636.0"
"896.5546","-57.0","22.0","85.0","99158.0","121582.0"
"896.5796","-57.0","21.0","86.0","99165.0","121603.0"
"896.6046","-57.0","22.0","85.0","99118.0","121567.0"
"896.62964","-57.0","22.0","85.0","99112.0","121522.0"
"896.6546","-57.0","20.0","86.0","99059.0","121472.0"
"896.67957","-57.0","21.0","87.0","99053.0","121445.0"
"896.7546","-57.0","22.0","87.0","98970.0","121280.0"
"896.77954","-57.0","22.0","85.0","98944.0","121245.0"
"896.90454","-57.0","22.0","85.0","98863.0","121149.0"
"896.92957","-58.0","21.0","85.0","98854.0","121121.0"
"897.0045","-57.0","23.0","84.0","98797.0","121059.0"
"897.0212","-58.0","22.0","85.0","98789.0","121036.0"
"897.03784","-58.0","21.0","85.0","98719.0","120967.0"
"897.0545","-57.0","22.0","85.0","98721.0","120967.0"
"897.07947","-57.0","23.0","85.0","98696.0","120906.0"
"897.1045","-58.0","21.0","85.0","98649.0","120885.0"
"897.1295","-58.0","21.0","85.0","98604.0","120848.0"
"897.20447","-57.0","23.0","85.0","98599.0","120857.0"
"897.2295","-57.0","23.0","84.0","98557.0","120749.0"
"897.30444","-58.0","22.0","85.0","98531.0","120725.0"
"897.4044","-58.0","21.0","85.0","98479.0","120678.0"
"897.4211","-57.0","23.0","85.0","98483.0","120663.0"
"897.43774","-57.0","24.0","84.0","98455.0","120623.0"
"897.5044","-57.0","22.0","84.0","98422.0","120608.0"
"897.5294","-58.0","22.0","85.0","98385.0","120586.0"
"897.65436","-58.0","23.0","86.0","98371.0","120567.0"
"897.671","-58.0","22.0","85.0","98347.0","120536.0"
"897.6877","-57.0","23.0","84.0","98329.0","120545.0"
"897.75433","-58.0","22.0","85.0","98298.0","120514.0"
"897.7793","-58.0","22.0","85.0","98299.0","120511.0"
"897.8543","-58.0","22.0","85.0","98284.0","120485.0"
"897.871","-58.0","22.0","85.0","98253.0","120478.0"
"897.88763","-58.0","22.0","85.0","98224.0","120456.0"
"897.9543","-58.0","22.0","85.0","98218.0","120466.0"
"898.05426","-58.0","22.0","85.0","98212.0","120448.0"
"898.0709","-58.0","22.0","84.0","98168.0","120435.0"
"898.0876","-57.0","21.0","85.0","98151.0","120422.0"
"898.2542","-58.0","22.0","86.0","98147.0","120419.0"
"898.2709","-58.0","22.0","86.0","98117.0","120398.0"
"898.28754","-57.0","23.0","84.0","98095.0","120346.0"
"898.3042","-57.0","23.0","85.0","98019.0","120211.0"
"898.4042","-58.0","22.0","84.0","98004.0","120192.0"
"898.42084","-57.0","22.0","84.0","97958.0","120090.0"
"898.4375","-57.0","23.0","84.0","97852.0","120011.0"
"898.6541","-58.0","20.0","86.0","97883.0","120002.0"
"898.6708","-58.0","21.0","86.0","97818.0","119975.0"
"898.68744","-57.0","22.0","85.0","97808.0","119922.0"
"898.7541","-58.0","22.0","85.0","97782.0","119890.0"
"898.77075","-58.0","22.0","85.0","97750.0","119882.0"
"898.7874","-57.0","22.0","85.0","97734.0","119859.0"
"898.85406","-58.0","22.0","84.0","97727.0","119836.0"
"898.879","-58.0","21.0","85.0","97676.0","119833.0"
"898.90405","-57.0","23.0","85.0","97673.0","119822.0"
"898.9291","-57.0","22.0","85.0","97611.0","119734.0"
"899.004","-58.0","22.0","85.0","97603.0","119709.0"
"899.02905","-57.0","23.0","85.0","97496.0","119581.0"
"899.054","-57.0","22.0","85.0","97496.0","119574.0"
"899.079","-58.0","22.0","85.0","97472.0","119535.0"
"899.154","-58.0","22.0","85.0","97462.0","119545.0"
"899.17896","-58.0","22.0","84.0","97412.0","119525.0"
"899.204","-57.0","22.0","84.0","97397.0","119526.0"
"899.30396","-58.0","22.0","84.0","97390.0","119528.0"
"899.3206","-57.0","22.0","85.0","97367.0","119544.0"
"899.3373","-58.0","21.0","86.0","97362.0","119536.0"
"899.40393","-57.0","23.0","84.0","97348.0","119514.0"
"899.42896","-57.0","23.0","84.0","97332.0","119558.0"
"899.4539","-58.0","22.0","85.0","97322.0","119557.0"
"899.4789","-58.0","22.0","86.0","97315.0","119553.0"
"899.5039","-57.0","23.0","85.0","97310.0","119567.0"
"899.52893","-58.0","22.0","84.0","97283.0","119570.0"
"899.6539","-58.0","21.0","86.0","97286.0","119561.0"
"899.75385","-58.0","22.0","86.0","97220.0","119446.0"
"899.7705","-57.0","22.0","85.0","97097.0","119312.0"
"899.7872","-58.0","22.0","86.0","97116.0","119287.0"
"899.80383","-57.0","21.0","86.0","97067.0","119300.0"
"899.82886","-57.0","22.0","84.0","97072.0","119267.0"
"899.9538","-58.0","20.0","85.0","97050.0","119264.0"
"899.97046","-59.0","22.0","86.0","97068.0","119258.0"
"899.9871","-57.0","22.0","86.0","97005.0","119273.0"
"900.0538","-57.0","22.0","85.0","96980.0","119254.0"
"900.07874","-57.0","22.0","84.0","96975.0","119254.0"
"900.15375","-57.0","22.0","85.0","96977.0","119274.0"
"900.1787","-57.0","22.0","85.0","96934.0","119293.0"
"900.20374","-58.0","21.0","86.0","96939.0","119310.0"
"900.22876","-57.0","22.0","86.0","96938.0","119299.0"
"900.2537","-57.0","22.0","85.0","96946.0","119317.0"
"900.2787","-58.0","22.0","85.0","96938.0","119351.0"
"900.3537","-58.0","22.0","85.0","96931.0","119363.0"
"900.37866","-58.0","22.0","85.0","96917.0","119374.0"
"900.4037","-58.0","23.0","84.0","96923.0","119372.0"
"900.4287","-57.0","22.0","84.0","96912.0","119409.0"
"900.4537","-58.0","22.0","84.0","96914.0","119422.0"
"900.47864","-57.0","21.0","85.0","96902.0","119437.0"
"900.55365","-58.0","21.0","86.0","96911.0","119448.0"
"900.5786","-58.0","21.0","85.0","96908.0","119461.0"
"900.6536","-58.0","23.0","84.0","96899.0","119469.0"
"900.6786","-57.0","23.0","83.0","96860.0","119365.0"
"900.8036","-58.0","21.0","85.0","96846.0","119364.0"
"900.82025","-57.0","22.0","85.0","96779.0","119262.0"
"900.8369","-58.0","22.0","85.0","96782.0","119247.0"
"900.90356","-57.0","22.0","85.0","96741.0","119216.0"
"900.9286","-57.0","23.0","84.0","96754.0","119207.0"
"900.95355","-58.0","22.0","84.0","96715.0","119190.0"
"900.9785","-58.0","21.0","84.0","96705.0","119189.0"
"901.1035","-57.0","23.0","83.0","96672.0","119170.0"
"901.1202","-57.0","23.0","85.0","96658.0","119172.0"
"901.13684","-59.0","21.0","85.0","96627.0","119141.0"
"901.1535","-58.0","22.0","85.0","96615.0","119148.0"
"901.17847","-58.0","22.0","85.0","96570.0","119059.0"
"901.30347","-57.0","22.0","85.0","96570.0","119051.0"
"901.3201","-57.0","22.0","85.0","96543.0","119031.0"
"901.3368","-58.0","22.0","85.0","96518.0","119040.0"
"901.40344","-57.0","23.0","85.0","96501.0","119011.0"
"901.42847","-57.0","23.0","85.0","96495.0","119030.0"
"901.4534","-58.0","21.0","85.0","96500.0","119016.0"
"901.4784","-58.0","21.0","84.0","96469.0","119036.0"
"901.5534","-57.0","23.0","85.0","96463.0","119027.0"
"901.57837","-57.0","22.0","84.0","96470.0","119049.0"
"901.6034","-58.0","22.0","84.0","96475.0","119049.0"
"901.6284","-58.0","22.0","85.0","96458.0","119064.0"
"901.70337","-58.0","22.0","85.0","96452.0","119061.0"
"901.7284","-57.0","22.0","85.0","96448.0","119081.0"
"901.9033","-57.0","22.0","86.0","96458.0","119083.0"
"901.92","-58.0","23.0","85.0","96431.0","119103.0"
"901.93665","-58.0","22.0","86.0","96436.0","119117.0"
"902.0033","-58.0","23.0","85.0","96436.0","119127.0"
"902.0283","-57.0","23.0","85.0","96433.0","119123.0"
"902.0533","-58.0","21.0","85.0","96365.0","118981.0"
"902.1033","-58.0","21.0","86.0","96366.0","118981.0"
"902.3032","-57.0","24.0","84.0","96305.0","118908.0"
"902.3199","-57.0","22.0","85.0","96315.0","118887.0"
"902.33655","-58.0","21.0","86.0","96269.0","118861.0"
"902.5032","-57.0","23.0","83.0","96242.0","118854.0"
"902.51984","-58.0","23.0","84.0","96219.0","118863.0"
"902.5365","-58.0","21.0","86.0","96210.0","118836.0"
"902.55316","-59.0","21.0","85.0","96222.0","118851.0"
"902.5781","-58.0","22.0","86.0","96202.0","118841.0"
"902.7531","-57.0","22.0","84.0","96195.0","118853.0"
"902.7698","-58.0","21.0","85.0","96168.0","118829.0"
"902.78644","-58.0","23.0","84.0","96150.0","118789.0"
"902.8031","-57.0","21.0","85.0","96148.0","118782.0"
"902.8281","-58.0","21.0","84.0","96120.0","118787.0"
"902.8531","-57.0","22.0","84.0","96124.0","118804.0"
"902.95306","-57.0","22.0","84.0","96106.0","118806.0"
"902.9697","-58.0","23.0","85.0","96113.0","118845.0"
"902.9864","-58.0","22.0","85.0","96099.0","118819.0"
"903.05304","-57.0","22.0","85.0","96098.0","118862.0"
"903.078","-57.0","21.0","85.0","96099.0","118879.0"
"903.203","-58.0","21.0","86.0","96094.0","118893.0"
"903.21967","-58.0","21.0","85.0","96109.0","118890.0"
"903.2363","-58.0","21.0","85.0","96096.0","118932.0"
"903.253","-58.0","22.0","84.0","96088.0","118964.0"
"903.27795","-58.0","21.0","85.0","96119.0","118963.0"
"903.303","-57.0","22.0","84.0","96088.0","118971.0"
"903.328","-57.0","22.0","83.0","96100.0","119003.0"
"903.40295","-58.0","21.0","87.0","96099.0","119024.0"
"903.428","-58.0","21.0","86.0","96084.0","118989.0"
"903.45294","-56.0","22.0","85.0","95985.0","118806.0"
"903.4779","-57.0","23.0","86.0","95969.0","118819.0"
"903.6029","-58.0","20.0","86.0","95958.0","118806.0"
"903.61957","-58.0","20.0","84.0","95947.0","118816.0"
"903.6362","-57.0","23.0","84.0","95920.0","118793.0"
"903.9528","-58.0","21.0","86.0","95937.0","118791.0"
"903.9695","-58.0","22.0","85.0","95918.0","118798.0"
"903.98615","-57.0","22.0","85.0","95914.0","118845.0"
"904.1528","-58.0","22.0","85.0","95901.0","118846.0"
"904.16943","-57.0","22.0","85.0","95930.0","118885.0"
"904.1861","-58.0","21.0","85.0","95921.0","118941.0"
"904.20276","-58.0","22.0","85.0","95912.0","118948.0"
"904.2278","-58.0","22.0","85.0","95912.0","118989.0"
"904.30273","-58.0","22.0","85.0","95912.0","119002.0"
"904.32776","-58.0","22.0","84.0","95903.0","118993.0"
"904.3527","-58.0","22.0","84.0","95927.0","119020.0"
"904.4527","-58.0","22.0","85.0","95897.0","119028.0"
"904.46936","-58.0","23.0","83.0","95909.0","119061.0"
"904.486","-58.0","21.0","84.0","95884.0","119061.0"
"904.5027","-58.0","21.0","85.0","95911.0","119094.0"
"904.5277","-58.0","21.0","86.0","95908.0","119106.0"
"904.60266","-57.0","23.0","84.0","95898.0","119108.0"
"904.65265","-57.0","23.0","84.0","95911.0","119121.0"
"904.6693","-58.0","21.0","85.0","95915.0","119150.0"
"904.686","-58.0","22.0","84.0","95900.0","119165.0"
"904.7526","-57.0","23.0","84.0","95901.0","119176.0"
"904.7776","-58.0","22.0","84.0","95920.0","119218.0"
"904.8026","-58.0","22.0","84.0","95916.0","119222.0"
"904.82764","-57.0","22.0","85.0","95880.0","119157.0"
"905.00256","-58.0","23.0","84.0","95861.0","119144.0"
"905.05255","-58.0","21.0","84.0","95834.0","119060.0"
"905.0692","-57.0","23.0","83.0","95812.0","119034.0"
"905.0859","-58.0","22.0","85.0","95776.0","118979.0"
"905.10254","-58.0","22.0","86.0","95782.0","118992.0"
"905.12756","-58.0","22.0","86.0","95743.0","118983.0"
"905.3525","-58.0","22.0","85.0","95741.0","118963.0"
"905.36914","-57.0","22.0","86.0","95720.0","118960.0"
"905.3858","-58.0","21.0","84.0","95716.0","118962.0"
"905.40247","-58.0","21.0","85.0","95714.0","118962.0"
"905.4275","-58.0","21.0","85.0","95712.0","118969.0"
"905.50244","-57.0","23.0","85.0","95656.0","118901.0"
"905.52747","-57.0","23.0","85.0","95633.0","118920.0"
"905.5524","-58.0","21.0","85.0","95633.0","118928.0"
"905.6524","-58.0","22.0","85.0","95652.0","118989.0"
"905.66907","-58.0","22.0","84.0","95641.0","118992.0"
"905.6857","-58.0","22.0","86.0","95670.0","119038.0"
"905.80237","-57.0","21.0","85.0","95638.0","119028.0"
"905.81903","-58.0","22.0","85.0","95654.0","119065.0"
"905.8357","-58.0","22.0","86.0","95659.0","119080.0"
"905.85236","-57.0","22.0","85.0","95680.0","119112.0"
"905.8773","-58.0","22.0","85.0","95656.0","119124.0"
"905.95233","-57.0","22.0","85.0","95664.0","119148.0"
"906.1023","-57.0","22.0","85.0","95663.0","119130.0"
"906.11896","-57.0","22.0","85.0","95622.0","119044.0"
"906.1356","-58.0","21.0","85.0","95608.0","119001.0"
"906.1523","-58.0","20.0","87.0","95565.0","119014.0"
"906.17725","-58.0","21.0","86.0","95555.0","119029.0"
"906.4022","-57.0","22.0","85.0","95563.0","119089.0"
"906.4189","-57.0","21.0","85.0","95574.0","119114.0"
"906.43555","-57.0","22.0","84.0","95566.0","119108.0"
"906.4522","-58.0","22.0","86.0","95570.0","119135.0"
"906.4772","-57.0","22.0","86.0","95584.0","119160.0"
"906.65216","-58.0","22.0","85.0","95581.0","119165.0"
"906.6688","-58.0","22.0","85.0","95572.0","119177.0"
"906.6855","-57.0","21.0","85.0","95577.0","119209.0"
"906.75214","-58.0","22.0","84.0","95551.0","119151.0"
"906.7688","-58.0","22.0","85.0","95546.0","119173.0"
"906.78546","-58.0","22.0","85.0","95558.0","119170.0"
"906.8521","-57.0","22.0","84.0","95559.0","119179.0"
"906.8771","-58.0","22.0","85.0","95549.0","119194.0"
"906.9021","-57.0","22.0","85.0","95588.0","119272.0"
"906.9521","-58.0","22.0","85.0","95577.0","119282.0"
"906.97705","-58.0","22.0","84.0","95613.0","119308.0"
"907.0021","-57.0","22.0","85.0","95594.0","119299.0"
"907.05206","-57.0","22.0","85.0","95625.0","119340.0"
"907.077","-58.0","23.0","84.0","95630.0","119350.0"
"907.50195","-59.0","21.0","85.0","95634.0","119391.0"
"907.5186","-59.0","21.0","85.0","95632.0","119391.0"
"907.5353","-57.0","23.0","84.0","95635.0","119430.0"
"907.6019","-57.0","22.0","85.0","95632.0","119449.0"
"907.62695","-58.0","22.0","86.0","95645.0","119422.0"
"907.6519","-58.0","22.0","85.0","95574.0","119289.0"
"907.6769","-58.0","22.0","85.0","95576.0","119279.0"
"907.7519","-57.0","23.0","85.0","95539.0","119244.0"
