"Time","C1","C2","C3","C4","C5"
"1962.7894","-43.0","60.0","-75.0","120417.0","150457.0"
"1962.8895","-43.0","60.0","-75.0","120502.0","150699.0"
"1962.9146","-42.0","60.0","-75.0","120525.0","150753.0"
"1963.0897","-43.0","60.0","-75.0","120611.0","150946.0"
"1963.1064","-43.0","60.0","-75.0","120702.0","151137.0"
"1963.123","-43.0","60.0","-75.0","120663.0","151157.0"
"1963.1898","-42.0","60.0","-75.0","120815.0","151491.0"
"1963.2148","-42.0","60.0","-74.0","120823.0","151513.0"
"1963.5902","-42.0","60.0","-75.0","120835.0","151492.0"
"1963.6069","-42.0","59.0","-74.0","120770.0","151373.0"
"1963.6235","-42.0","59.0","-75.0","120579.0","150897.0"
"1963.7904","-42.0","60.0","-75.0","120531.0","150839.0"
"1963.8071","-42.0","60.0","-75.0","120363.0","150523.0"
"1963.8237","-43.0","60.0","-75.0","120340.0","150484.0"
"1964.0406","-42.0","61.0","-75.0","120489.0","150892.0"
"1964.0657","-42.0","60.0","-75.0","120486.0","150942.0"
"1964.341","-43.0","59.0","-76.0","120567.0","151129.0"
"1964.7413","-42.0","59.0","-75.0","120585.0","151120.0"
"1964.7664","-42.0","59.0","-74.0","120632.0","151269.0"
"1964.8915","-44.0","60.0","-75.0","120708.0","151465.0"
"1964.9415","-42.0","60.0","-76.0","120730.0","151496.0"
"1964.9583","-43.0","60.0","-75.0","120773.0","151631.0"
"1964.9749","-42.0","60.0","-75.0","120625.0","151243.0"
"1965.1417","-43.0","60.0","-75.0","120405.0","150765.0"
"1965.2919","-42.0","60.0","-75.0","120359.0","150689.0"
"1965.3086","-42.0","60.0","-75.0","120344.0","150696.0"
"1965.3252","-43.0","60.0","-75.0","120439.0","150881.0"
"1965.9926","-43.0","60.0","-75.0","120425.0","150953.0"
"1966.0093","-43.0","60.0","-75.0","120508.0","151123.0"
"1966.0259","-42.0","60.0","-75.0","120523.0","151149.0"
"1966.1927","-42.0","59.0","-75.0","120565.0","151268.0"
"1966.2095","-42.0","60.0","-75.0","120721.0","151614.0"
"1966.2261","-43.0","60.0","-75.0","120632.0","151382.0"
"1966.3429","-42.0","60.0","-76.0","120588.0","151310.0"
"1966.3596","-42.0","60.0","-74.0","120393.0","150895.0"
"1966.3762","-42.0","60.0","-75.0","120425.0","151036.0"
"1966.393","-42.0","60.0","-75.0","120479.0","151175.0"
"1966.418","-43.0","60.0","-75.0","120582.0","151353.0"
"1966.5431","-43.0","60.0","-75.0","120638.0","151539.0"
"1966.6932","-42.0","60.0","-76.0","120609.0","151421.0"
"1966.71","-43.0","60.0","-76.0","120347.0","150904.0"
"1966.7266","-42.0","60.0","-75.0","120336.0","150818.0"
"1967.1437","-42.0","60.0","-75.0","120147.0","150433.0"
"1967.2938","-42.0","60.0","-75.0","120443.0","151110.0"
"1967.3188","-42.0","60.0","-75.0","120464.0","151181.0"
"1968.3448","-42.0","60.0","-75.0","120551.0","151330.0"
"1969.1456","-42.0","60.0","-75.0","120412.0","150990.0"
"1969.1624","-43.0","60.0","-76.0","120361.0","150879.0"
"1969.179","-42.0","60.0","-75.0","120099.0","150349.0"
"1969.2457","-42.0","60.0","-75.0","120177.0","150525.0"
"1969.3458","-42.0","60.0","-75.0","120210.0","150589.0"
"1970.1967","-43.0","59.0","-75.0","120552.0","151308.0"
