"Time","C1","C2","C3","C4","C5"
"2584.2957","82.0","60.0","-1.0","126270.0","132372.0"
"2584.4458","81.0","60.0","-1.0","126376.0","132556.0"
"2584.4707","82.0","60.0","-2.0","126447.0","132695.0"
"2584.4958","81.0","60.0","-2.0","126472.0","132741.0"
"2584.646","81.0","60.0","-1.0","126299.0","132379.0"
"2584.746","82.0","60.0","0.0","126131.0","132013.0"
"2584.7961","82.0","61.0","-2.0","126329.0","132378.0"
"2584.9463","81.0","61.0","-1.0","126392.0","132493.0"
"2584.9712","82.0","60.0","-1.0","125964.0","131628.0"
"2584.9963","81.0","59.0","-2.0","125695.0","131073.0"
"2585.3967","81.0","60.0","0.0","125640.0","130957.0"
"2585.4219","81.0","60.0","-1.0","125695.0","131087.0"
"2585.4968","81.0","60.0","-1.0","125777.0","131222.0"
"2585.5469","82.0","60.0","-1.0","125859.0","131362.0"
"2586.0974","81.0","60.0","-1.0","125746.0","131126.0"
"2586.1226","82.0","60.0","-1.0","125657.0","130911.0"
"2586.1475","81.0","60.0","-1.0","125696.0","131024.0"
"2586.1975","81.0","60.0","-1.0","125936.0","131471.0"
"2586.3977","81.0","60.0","-1.0","126046.0","131643.0"
"2586.4229","81.0","60.0","-1.0","126131.0","131842.0"
"2586.9482","82.0","60.0","0.0","126222.0","132060.0"
"2586.9731","82.0","59.0","-1.0","126287.0","132164.0"
"2587.3486","81.0","60.0","-1.0","126365.0","132286.0"
"2587.4487","81.0","60.0","-2.0","126173.0","131934.0"
"2587.5989","82.0","61.0","-1.0","126052.0","131626.0"
"2587.624","82.0","61.0","-1.0","126050.0","131628.0"
"2587.649","82.0","60.0","-1.0","126104.0","131711.0"
"2587.849","81.0","60.0","0.0","126115.0","131811.0"
"2588.0493","81.0","60.0","0.0","126131.0","131822.0"
"2588.2495","81.0","60.0","-1.0","125833.0","131234.0"
"2588.2744","81.0","60.0","-2.0","125639.0","130797.0"
"2589.0002","81.0","60.0","0.0","125584.0","130775.0"
"2589.0254","82.0","60.0","0.0","125651.0","130843.0"
"2589.3005","81.0","60.0","-2.0","125689.0","130979.0"
"2589.3257","81.0","60.0","-1.0","125720.0","131009.0"
