"Time","C1","C2","C3","C4","C5"
"1083.4315","-8.0","25.0","-94.0","112132.0","122947.0"
"1083.4565","-7.0","29.0","-80.0","112141.0","122996.0"
"1083.4816","-6.0","23.0","-84.0","112290.0","123309.0"
"1083.5066","-7.0","22.0","-101.0","112287.0","123324.0"
"1083.5316","-5.0","27.0","-76.0","112383.0","123524.0"
"1083.5566","-4.0","28.0","-70.0","112453.0","123684.0"
"1083.6317","-8.0","18.0","-106.0","112475.0","123721.0"
"1083.6567","-7.0","25.0","-118.0","112581.0","123938.0"
"1083.7318","-3.0","28.0","-67.0","112442.0","123661.0"
"1083.7568","-5.0","25.0","-69.0","112423.0","123553.0"
"1084.0321","-7.0","23.0","-105.0","112251.0","123149.0"
"1084.0488","-6.0","26.0","-111.0","112208.0","123108.0"
"1084.0654","-3.0","26.0","-73.0","112218.0","123143.0"
"1084.0822","-4.0","22.0","-116.0","112318.0","123357.0"
"1084.1072","-3.0","24.0","-116.0","112351.0","123427.0"
"1084.2823","-1.0","29.0","-67.0","112441.0","123617.0"
"1084.2991","-1.0","31.0","-66.0","112449.0","123631.0"
"1084.3157","0.0","22.0","-115.0","112492.0","123737.0"
"1084.3324","0.0","27.0","-59.0","112588.0","123951.0"
"1084.3574","0.0","31.0","-64.0","112591.0","123972.0"
"1084.3824","-1.0","27.0","-127.0","112592.0","123926.0"
"1084.4075","-1.0","31.0","-114.0","112520.0","123760.0"
"1084.4825","0.0","26.0","-63.0","112269.0","123231.0"
"1084.5076","1.0","25.0","-72.0","112250.0","123184.0"
"1084.5326","0.0","31.0","-107.0","112256.0","123141.0"
"1084.5576","1.0","27.0","-86.0","112242.0","123172.0"
"1084.5826","0.0","26.0","-76.0","112330.0","123366.0"
"1084.6077","0.0","27.0","-87.0","112351.0","123409.0"
"1084.6827","0.0","28.0","-96.0","112455.0","123617.0"
"1084.7078","0.0","25.0","-79.0","112452.0","123630.0"
"1084.8329","0.0","25.0","-81.0","112495.0","123766.0"
"1084.8496","0.0","28.0","-94.0","112532.0","123785.0"
"1084.8662","0.0","32.0","-96.0","112625.0","123956.0"
"1084.933","-2.0","18.0","-81.0","112607.0","123991.0"
"1084.958","-1.0","24.0","-90.0","112617.0","124020.0"
"1084.983","-2.0","29.0","-91.0","112602.0","123962.0"
"1085.008","-1.0","28.0","-77.0","112369.0","123426.0"
"1085.0831","0.0","28.0","-98.0","112304.0","123281.0"
"1085.1082","0.0","27.0","-104.0","112243.0","123144.0"
"1085.1332","-1.0","26.0","-80.0","112260.0","123159.0"
"1085.1582","0.0","26.0","-70.0","112301.0","123297.0"
"1085.2333","0.0","26.0","-104.0","112334.0","123365.0"
"1085.2583","-1.0","25.0","-107.0","112454.0","123598.0"
"1085.2833","0.0","26.0","-77.0","112467.0","123634.0"
"1085.3083","0.0","28.0","-72.0","112505.0","123711.0"
"1085.3334","1.0","24.0","-107.0","112436.0","123505.0"
"1085.3584","0.0","27.0","-111.0","112408.0","123457.0"
"1085.4335","1.0","29.0","-67.0","112237.0","123092.0"
"1085.4585","1.0","28.0","-66.0","112241.0","123087.0"
"1085.5336","0.0","26.0","-120.0","112292.0","123226.0"
"1085.5586","1.0","34.0","-116.0","112402.0","123470.0"
"1085.5836","3.0","29.0","-59.0","112418.0","123509.0"
"1085.6086","2.0","28.0","-70.0","112498.0","123674.0"
"1085.6337","2.0","32.0","-108.0","112519.0","123707.0"
"1085.6587","2.0","29.0","-99.0","112535.0","123780.0"
"1085.7338","4.0","31.0","-72.0","112587.0","123853.0"
"1085.7588","3.0","27.0","-79.0","112665.0","124053.0"
"1085.8339","3.0","28.0","-106.0","112668.0","124045.0"
"1085.8839","2.0","28.0","-96.0","112490.0","123653.0"
"1085.9006","5.0","27.0","-77.0","112428.0","123471.0"
"1085.9172","4.0","26.0","-86.0","112261.0","123102.0"
"1085.934","4.0","25.0","-100.0","112238.0","123057.0"
"1085.959","5.0","27.0","-95.0","112221.0","123077.0"
"1086.034","7.0","24.0","-75.0","112251.0","123105.0"
"1086.0591","10.0","25.0","-84.0","112357.0","123360.0"
"1086.0841","8.0","22.0","-81.0","112475.0","123583.0"
"1086.1842","6.0","28.0","-86.0","112491.0","123613.0"
"1086.2009","12.0","29.0","-91.0","112563.0","123766.0"
"1086.2175","13.0","21.0","-91.0","112570.0","123784.0"
"1086.2843","5.0","29.0","-88.0","112640.0","123942.0"
"1086.3093","7.0","29.0","-81.0","112681.0","124023.0"
"1086.3844","12.0","27.0","-91.0","112583.0","123785.0"
"1086.4011","9.0","21.0","-96.0","112535.0","123699.0"
"1086.4177","8.0","26.0","-87.0","112314.0","123236.0"
"1086.5345","5.0","19.0","-97.0","112308.0","123160.0"
"1086.5513","4.0","9.0","-104.0","112268.0","123094.0"
"1086.5679","5.0","25.0","-85.0","112272.0","123108.0"
"1086.6847","4.0","11.0","-105.0","112385.0","123379.0"
"1086.7014","6.0","18.0","-98.0","112439.0","123457.0"
"1086.718","3.0","23.0","-84.0","112499.0","123601.0"
"1086.7848","8.0","16.0","-93.0","112519.0","123624.0"
"1086.8098","3.0","13.0","-92.0","112602.0","123825.0"
"1086.8348","1.0","18.0","-91.0","112631.0","123850.0"
"1086.8599","8.0","17.0","-87.0","112659.0","123960.0"
"1086.9349","17.0","8.0","-34.0","112678.0","123989.0"
"1087.035","-6.0","114.0","-200.0","112688.0","123988.0"
"1087.0518","25.0","30.0","-72.0","112658.0","123873.0"
"1087.0684","12.0","22.0","-114.0","112406.0","123336.0"
"1087.0851","12.0","14.0","-83.0","112385.0","123287.0"
"1087.1101","12.0","15.0","-95.0","112330.0","123147.0"
"1087.1351","18.0","2.0","-91.0","112328.0","123159.0"
"1087.1602","15.0","10.0","-96.0","112411.0","123365.0"
"1087.2352","31.0","7.0","-87.0","112430.0","123403.0"
"1087.2603","37.0","3.0","-87.0","112549.0","123656.0"
"1087.2853","34.0","14.0","-98.0","112570.0","123673.0"
