"Time","C1","C2","C3","C4","C5"
"1477.0155","28.0","91.0","-40.0","108776.0","151205.0"
"1477.0322","29.0","92.0","-40.0","108793.0","151194.0"
"1477.0488","29.0","92.0","-40.0","108788.0","151231.0"
"1477.4159","29.0","91.0","-40.0","108766.0","151130.0"
"1477.4409","29.0","92.0","-41.0","108767.0","151149.0"
"1477.7662","29.0","91.0","-40.0","108794.0","151168.0"
"1477.783","29.0","92.0","-40.0","108771.0","151198.0"
"1477.7996","29.0","92.0","-40.0","108790.0","151199.0"
"1477.8163","29.0","91.0","-41.0","108788.0","151199.0"
"1477.8413","28.0","92.0","-41.0","108788.0","151202.0"
"1478.0665","28.0","92.0","-40.0","108798.0","151236.0"
"1478.0833","28.0","92.0","-41.0","108793.0","151236.0"
"1478.0999","28.0","92.0","-41.0","108802.0","151243.0"
"1478.3168","28.0","92.0","-41.0","108802.0","151242.0"
"1478.3335","29.0","92.0","-40.0","108757.0","151129.0"
"1478.3501","29.0","92.0","-42.0","108759.0","151115.0"
"1478.3668","28.0","92.0","-41.0","108780.0","151148.0"
"1478.8673","28.0","92.0","-41.0","108779.0","151175.0"
"1479.1176","28.0","92.0","-41.0","108783.0","151182.0"
"1479.1343","28.0","92.0","-40.0","108787.0","151187.0"
"1479.1509","28.0","92.0","-41.0","108790.0","151229.0"
"1479.3177","28.0","91.0","-40.0","108783.0","151238.0"
"1479.3428","29.0","91.0","-41.0","108790.0","151257.0"
"1479.4178","29.0","92.0","-40.0","108735.0","151116.0"
"1479.4429","29.0","92.0","-41.0","108727.0","151136.0"
"1479.4679","29.0","92.0","-41.0","108737.0","151154.0"
"1480.0184","29.0","92.0","-39.0","108744.0","151173.0"
"1480.0435","28.0","91.0","-40.0","108746.0","151174.0"
"1480.0685","28.0","91.0","-41.0","108750.0","151188.0"
"1480.0852","28.0","92.0","-41.0","108747.0","151190.0"
"1480.1018","28.0","91.0","-41.0","108744.0","151217.0"
"1480.3187","29.0","92.0","-40.0","108753.0","151241.0"
"1480.4689","28.0","92.0","-40.0","108748.0","151242.0"
"1480.7692","28.0","92.0","-40.0","108762.0","151263.0"
"1480.7859","29.0","92.0","-41.0","108751.0","151267.0"
"1480.8025","28.0","92.0","-40.0","108725.0","151189.0"
"1480.8192","29.0","91.0","-41.0","108728.0","151190.0"
"1480.9193","29.0","91.0","-40.0","108744.0","151202.0"
"1480.936","28.0","91.0","-41.0","108742.0","151323.0"
"1480.9526","29.0","91.0","-41.0","108737.0","151310.0"
"1481.1195","28.0","92.0","-41.0","108727.0","151252.0"
"1481.1362","29.0","91.0","-41.0","108723.0","151234.0"
"1481.1528","29.0","91.0","-41.0","108727.0","151275.0"
"1481.2196","28.0","91.0","-40.0","108737.0","151277.0"
"1481.2446","28.0","92.0","-41.0","108743.0","151300.0"
"1481.3197","29.0","92.0","-40.0","108750.0","151356.0"
"1481.3364","29.0","91.0","-41.0","108746.0","151343.0"
"1481.353","29.0","91.0","-42.0","108746.0","151346.0"
"1481.4198","28.0","92.0","-41.0","108718.0","151235.0"
"1481.62","28.0","92.0","-40.0","108714.0","151237.0"
"1481.63","29.0","91.0","-41.0","108734.0","151279.0"
"1481.64","29.0","92.0","-41.0","108707.0","151291.0"
"1481.65","28.0","92.0","-41.0","108699.0","151262.0"
"1481.66","28.0","92.0","-41.0","108690.0","151336.0"
"1481.7201","29.0","91.0","-41.0","108704.0","151335.0"
"1481.7451","29.0","92.0","-41.0","108698.0","151351.0"
"1481.8702","28.0","92.0","-41.0","108705.0","151397.0"
"1481.887","29.0","91.0","-41.0","108722.0","151415.0"
"1481.9036","29.0","91.0","-41.0","108708.0","151414.0"
"1482.0204","28.0","92.0","-40.0","108716.0","151411.0"
"1482.0371","28.0","92.0","-40.0","108688.0","151379.0"
"1482.0537","28.0","92.0","-40.0","108725.0","151454.0"
"1482.1705","29.0","91.0","-41.0","108710.0","151458.0"
"1482.1873","29.0","91.0","-41.0","108716.0","151478.0"
"1482.2039","29.0","91.0","-41.0","108721.0","151474.0"
"1482.621","29.0","91.0","-41.0","108714.0","151402.0"
"1482.7711","29.0","92.0","-40.0","108713.0","151391.0"
"1482.7878","28.0","92.0","-40.0","108701.0","151413.0"
"1482.8044","29.0","92.0","-40.0","108717.0","151508.0"
"1483.0714","29.0","91.0","-41.0","108708.0","151477.0"
"1483.2716","28.0","92.0","-40.0","108675.0","151388.0"
"1483.4218","29.0","92.0","-41.0","108683.0","151382.0"
"1483.4385","29.0","92.0","-40.0","108676.0","151378.0"
"1483.4551","29.0","92.0","-40.0","108681.0","151392.0"
"1483.672","29.0","92.0","-40.0","108674.0","151427.0"
"1483.6887","28.0","92.0","-40.0","108685.0","151454.0"
"1483.7053","28.0","92.0","-41.0","108672.0","151454.0"
"1484.8231","29.0","91.0","-40.0","108678.0","151466.0"
"1484.8398","29.0","92.0","-41.0","108685.0","151469.0"
"1484.8564","28.0","92.0","-40.0","108681.0","151489.0"
"1485.4738","29.0","92.0","-40.0","108686.0","151516.0"
"1485.4988","28.0","92.0","-40.0","108681.0","151513.0"
"1485.9242","28.0","91.0","-41.0","108686.0","151504.0"
"1485.9409","29.0","92.0","-41.0","108658.0","151416.0"
"1485.9575","29.0","92.0","-41.0","108669.0","151421.0"
"1486.3746","29.0","92.0","-40.0","108660.0","151427.0"
"1486.9252","29.0","92.0","-40.0","108671.0","151458.0"
"1486.9419","29.0","91.0","-40.0","108646.0","151465.0"
"1486.9585","29.0","91.0","-41.0","108660.0","151470.0"
"1487.1254","29.0","92.0","-40.0","108661.0","151475.0"
"1487.1421","29.0","92.0","-40.0","108661.0","151487.0"
"1487.1587","29.0","92.0","-40.0","108678.0","151501.0"
"1487.2755","29.0","92.0","-40.0","108678.0","151508.0"
"1487.2922","29.0","91.0","-40.0","108684.0","151518.0"
"1487.3088","28.0","92.0","-40.0","108686.0","151538.0"
"1487.3256","28.0","92.0","-40.0","108682.0","151559.0"
"1487.3506","29.0","92.0","-40.0","108663.0","151511.0"
"1487.4757","28.0","92.0","-39.0","108666.0","151454.0"
"1487.4924","29.0","92.0","-41.0","108655.0","151447.0"
"1487.509","29.0","92.0","-41.0","108655.0","151449.0"
