"Time","C1","C2","C3","C4","C5"
"2101.875","68.0","41.0","72.0","116874.0","136642.0"
"2101.8916","67.0","41.0","72.0","116855.0","136634.0"
"2101.9084","67.0","41.0","73.0","116840.0","136549.0"
"2102.3755","67.0","41.0","73.0","115350.0","132378.0"
"2102.776","67.0","41.0","72.0","115305.0","132267.0"
"2102.8008","68.0","41.0","72.0","114711.0","130857.0"
"2103.1262","68.0","41.0","72.0","114711.0","130840.0"
"2104.1272","67.0","41.0","72.0","114704.0","130836.0"
"2104.1438","67.0","41.0","74.0","114671.0","130704.0"
"2104.1606","67.0","41.0","73.0","114686.0","130689.0"
"2105.3284","68.0","41.0","73.0","114557.0","130484.0"
"2105.3535","68.0","41.0","73.0","114571.0","130491.0"
"2106.6797","67.0","41.0","72.0","114564.0","130504.0"
"2106.98","68.0","41.0","73.0","114496.0","130350.0"
"2106.9966","67.0","41.0","73.0","114456.0","130262.0"
"2107.0134","67.0","41.0","72.0","114384.0","130169.0"
"2107.6306","67.0","41.0","73.0","114356.0","130136.0"
"2107.981","67.0","41.0","73.0","114349.0","130127.0"
"2108.2312","67.0","41.0","73.0","114330.0","130073.0"
"2108.2563","67.0","41.0","73.0","114184.0","129784.0"
"2108.7317","67.0","41.0","73.0","114168.0","129891.0"
"2108.7568","67.0","41.0","73.0","114167.0","129884.0"
"2109.8828","67.0","41.0","73.0","114227.0","130014.0"
"2109.8994","67.0","41.0","72.0","114247.0","130048.0"
"2109.9163","67.0","41.0","73.0","114240.0","130082.0"
"2110.5334","67.0","41.0","72.0","114234.0","130083.0"
"2110.55","67.0","41.0","73.0","114256.0","130106.0"
"2110.567","67.0","41.0","73.0","114177.0","129956.0"
"2111.3843","67.0","40.0","73.0","114170.0","129977.0"
"2111.5344","67.0","41.0","73.0","114194.0","129974.0"
"2111.5596","68.0","41.0","73.0","114244.0","130116.0"
"2112.2852","67.0","41.0","72.0","114249.0","130116.0"
"2112.3018","67.0","41.0","73.0","114260.0","130135.0"
"2112.3186","68.0","41.0","73.0","114185.0","129967.0"
"2113.086","67.0","41.0","73.0","114183.0","129987.0"
"2113.1108","67.0","41.0","73.0","114102.0","129725.0"
"2113.5864","67.0","41.0","73.0","114075.0","129721.0"
"2113.603","68.0","41.0","73.0","114098.0","129755.0"
"2113.6199","68.0","41.0","73.0","114065.0","129675.0"
"2114.4373","67.0","40.0","73.0","114089.0","129696.0"
"2115.8386","67.0","41.0","73.0","114090.0","129710.0"
"2115.8638","68.0","41.0","73.0","114174.0","129886.0"
"2116.5393","67.0","40.0","72.0","114214.0","130016.0"
"2116.5645","67.0","40.0","73.0","114225.0","130015.0"
"2117.19","67.0","40.0","73.0","114231.0","129997.0"
"2118.241","67.0","41.0","73.0","114162.0","129879.0"
"2118.341","67.0","40.0","73.0","114162.0","129878.0"
"2119.342","67.0","41.0","73.0","114123.0","129774.0"
"2119.3672","68.0","41.0","73.0","114110.0","129768.0"
"2120.0427","67.0","41.0","73.0","114117.0","129753.0"
"2120.0593","67.0","41.0","74.0","114028.0","129589.0"
"2120.0762","67.0","41.0","73.0","114089.0","129698.0"
"2120.343","67.0","41.0","73.0","114098.0","129692.0"
"2120.6433","67.0","41.0","73.0","114087.0","129706.0"
"2120.66","67.0","41.0","72.0","114073.0","129690.0"
"2120.6768","67.0","41.0","73.0","114157.0","129897.0"
"2121.4941","68.0","41.0","73.0","114174.0","129898.0"
"2121.7444","67.0","40.0","73.0","114068.0","129839.0"
"2121.761","67.0","40.0","73.0","114073.0","129846.0"
"2121.7778","67.0","41.0","73.0","114027.0","129792.0"
"2122.7454","67.0","41.0","73.0","114059.0","129907.0"
"2122.7705","67.0","41.0","73.0","114068.0","129920.0"
"2122.9456","67.0","41.0","73.0","114054.0","129930.0"
"2123.446","67.0","40.0","73.0","113916.0","129730.0"
"2123.4712","67.0","41.0","73.0","113924.0","129736.0"
"2123.5461","68.0","40.0","73.0","113925.0","129747.0"
"2123.5713","67.0","40.0","73.0","113785.0","129529.0"
"2125.0476","67.0","41.0","73.0","113775.0","129537.0"
"2125.2478","68.0","40.0","74.0","113761.0","129531.0"
"2125.6482","67.0","41.0","74.0","113759.0","129609.0"
"2125.6733","67.0","41.0","73.0","113761.0","129621.0"
"2128.2507","67.0","40.0","74.0","113761.0","129660.0"
"2128.276","67.0","40.0","73.0","113753.0","129646.0"
"2128.401","67.0","41.0","73.0","113737.0","129633.0"
"2128.4258","67.0","41.0","73.0","113806.0","129799.0"
"2128.9514","67.0","40.0","73.0","113727.0","129798.0"
"2129.0015","67.0","40.0","73.0","113728.0","129809.0"
"2130.0525","67.0","40.0","74.0","113631.0","129594.0"
"2130.0776","67.0","40.0","74.0","113631.0","129590.0"
"2130.7031","67.0","40.0","73.0","113631.0","129547.0"
"2131.2537","67.0","41.0","74.0","113728.0","129636.0"
"2131.2788","67.0","40.0","73.0","113705.0","129621.0"
"2132.0044","67.0","40.0","74.0","113804.0","129731.0"
"2132.0293","67.0","41.0","73.0","113791.0","129716.0"
"2132.655","67.0","40.0","73.0","113892.0","129814.0"
"2132.6716","67.0","40.0","73.0","113868.0","129795.0"
"2132.6885","67.0","40.0","73.0","113847.0","129775.0"
"2133.1555","68.0","41.0","74.0","113850.0","129774.0"
"2133.172","67.0","40.0","73.0","113899.0","129869.0"
"2133.189","67.0","40.0","73.0","113910.0","129856.0"
"2133.656","67.0","41.0","74.0","113931.0","129869.0"
"2133.6812","67.0","40.0","73.0","113868.0","129670.0"
"2133.8562","68.0","41.0","74.0","113890.0","129690.0"
"2134.557","67.0","40.0","73.0","113892.0","129676.0"
"2134.5735","67.0","40.0","74.0","113835.0","129623.0"
"2134.5903","67.0","40.0","72.0","113905.0","129625.0"
"2134.757","67.0","41.0","74.0","113899.0","129613.0"
"2135.1074","67.0","40.0","73.0","113857.0","129519.0"
"2135.1323","67.0","40.0","73.0","113943.0","129685.0"
"2135.8582","68.0","41.0","74.0","113952.0","129704.0"
"2136.0083","67.0","40.0","73.0","113966.0","129724.0"
"2136.025","67.0","40.0","73.0","113961.0","129752.0"
"2136.0417","67.0","41.0","73.0","113997.0","129725.0"
"2136.1084","67.0","40.0","73.0","114005.0","129789.0"
"2136.1333","67.0","40.0","73.0","113981.0","129715.0"
"2136.1584","67.0","40.0","73.0","113954.0","129701.0"
"2136.1836","67.0","40.0","73.0","114009.0","129674.0"
"2136.5088","67.0","41.0","74.0","113973.0","129619.0"
"2136.5588","67.0","40.0","73.0","113971.0","129579.0"
"2136.5754","67.0","40.0","73.0","113964.0","129576.0"
"2136.5923","68.0","40.0","73.0","114015.0","129723.0"
"2136.8591","67.0","40.0","73.0","114013.0","129741.0"
"2136.8843","67.0","40.0","73.0","114044.0","129804.0"
