"Time","C1","C2","C3","C4","C5"
"2969.071","34.0","-34.0","-81.0","111451.0","141754.0"
"2969.0962","34.0","-33.0","-81.0","111406.0","141660.0"
"2969.121","34.0","-33.0","-82.0","111405.0","141604.0"
"2969.146","34.0","-34.0","-82.0","111382.0","141631.0"
"2969.2212","32.0","-33.0","-81.0","111421.0","141672.0"
"2969.2712","34.0","-34.0","-80.0","111413.0","141676.0"
"2969.2878","34.0","-33.0","-81.0","111412.0","141685.0"
"2969.3047","34.0","-34.0","-81.0","111440.0","141694.0"
"2969.4214","34.0","-34.0","-82.0","111427.0","141722.0"
"2969.5715","34.0","-34.0","-82.0","111446.0","141782.0"
"2969.5881","35.0","-35.0","-82.0","111443.0","141757.0"
"2969.605","33.0","-34.0","-81.0","111382.0","141599.0"
"2969.6216","35.0","-34.0","-82.0","111378.0","141585.0"
"2969.6465","34.0","-34.0","-82.0","111346.0","141558.0"
"2969.8718","34.0","-34.0","-81.0","111390.0","141666.0"
"2969.8884","34.0","-34.0","-80.0","111414.0","141685.0"
"2969.9053","33.0","-34.0","-81.0","111417.0","141734.0"
"2969.972","35.0","-35.0","-81.0","111414.0","141730.0"
"2969.997","34.0","-34.0","-82.0","111416.0","141739.0"
"2970.022","33.0","-35.0","-82.0","111430.0","141748.0"
"2970.0469","33.0","-34.0","-81.0","111441.0","141775.0"
"2970.072","34.0","-35.0","-81.0","111432.0","141806.0"
"2970.0972","34.0","-34.0","-81.0","111434.0","141778.0"
"2970.172","35.0","-34.0","-80.0","111337.0","141573.0"
"2970.1973","35.0","-35.0","-81.0","111375.0","141639.0"
"2970.2222","34.0","-34.0","-81.0","111390.0","141700.0"
"2970.247","33.0","-35.0","-80.0","111393.0","141700.0"
"2970.3723","34.0","-34.0","-81.0","111338.0","141565.0"
"2970.389","33.0","-35.0","-80.0","111344.0","141563.0"
"2970.4058","34.0","-35.0","-81.0","111355.0","141586.0"
"2970.5225","35.0","-35.0","-81.0","111345.0","141609.0"
"2970.5474","35.0","-34.0","-81.0","111371.0","141694.0"
"2970.6226","34.0","-35.0","-81.0","111408.0","141703.0"
"2970.6475","34.0","-34.0","-80.0","111398.0","141732.0"
"2970.7227","33.0","-35.0","-81.0","111400.0","141730.0"
"2970.7476","34.0","-34.0","-82.0","111393.0","141738.0"
"2971.2732","34.0","-34.0","-80.0","111418.0","141787.0"
"2971.2898","35.0","-34.0","-82.0","111413.0","141789.0"
"2971.3066","34.0","-34.0","-81.0","111388.0","141732.0"
"2971.3733","35.0","-35.0","-81.0","111378.0","141711.0"
"2971.3984","34.0","-36.0","-83.0","111360.0","141588.0"
"2971.5234","32.0","-36.0","-82.0","111353.0","141580.0"
"2971.6235","33.0","-34.0","-78.0","111364.0","141650.0"
"2971.6736","35.0","-35.0","-81.0","111426.0","141724.0"
"2971.6987","33.0","-36.0","-80.0","111407.0","141784.0"
"2972.174","35.0","-35.0","-80.0","111410.0","141802.0"
"2972.7747","34.0","-35.0","-81.0","111430.0","141834.0"
"2972.7913","35.0","-35.0","-81.0","111418.0","141834.0"
"2972.808","34.0","-35.0","-78.0","111399.0","141737.0"
"2973.3252","34.0","-35.0","-80.0","111376.0","141695.0"
"2973.3418","36.0","-35.0","-81.0","111388.0","141730.0"
"2973.3586","36.0","-35.0","-80.0","111403.0","141798.0"
"2973.5754","35.0","-35.0","-80.0","111398.0","141775.0"
"2973.6755","36.0","-35.0","-79.0","111410.0","141802.0"
"2973.6921","35.0","-35.0","-81.0","111407.0","141811.0"
"2973.709","39.0","-38.0","-93.0","111420.0","141822.0"
"2973.7756","35.0","-36.0","-82.0","111408.0","141837.0"
"2973.8008","35.0","-34.0","-81.0","111428.0","141881.0"
"2973.8757","36.0","-35.0","-81.0","111438.0","141882.0"
"2973.901","35.0","-35.0","-82.0","111378.0","141715.0"
"2973.9758","35.0","-35.0","-81.0","111358.0","141701.0"
"2974.026","34.0","-36.0","-80.0","111357.0","141660.0"
"2974.0508","36.0","-35.0","-81.0","111373.0","141728.0"
"2974.126","36.0","-35.0","-80.0","111370.0","141749.0"
"2974.1426","35.0","-35.0","-80.0","111413.0","141805.0"
"2974.1594","35.0","-35.0","-80.0","111391.0","141815.0"
"2974.3262","34.0","-35.0","-82.0","111399.0","141815.0"
"2974.4263","35.0","-35.0","-79.0","111415.0","141844.0"
"2974.4429","35.0","-35.0","-81.0","111415.0","141894.0"
"2974.4597","35.0","-35.0","-79.0","111411.0","141859.0"
"2974.5764","34.0","-36.0","-81.0","111366.0","141721.0"
"2974.6016","35.0","-35.0","-80.0","111363.0","141731.0"
"2974.6265","35.0","-36.0","-80.0","111370.0","141719.0"
"2974.643","35.0","-36.0","-80.0","111339.0","141722.0"
"2974.66","35.0","-35.0","-81.0","111345.0","141735.0"
"2974.7766","36.0","-36.0","-80.0","111369.0","141824.0"
"2974.8018","34.0","-36.0","-81.0","111379.0","141837.0"
"2974.8267","35.0","-36.0","-81.0","111412.0","141900.0"
"2975.177","36.0","-36.0","-81.0","111412.0","141913.0"
"2975.2021","36.0","-35.0","-80.0","111378.0","141852.0"
"2975.227","36.0","-34.0","-79.0","111375.0","141857.0"
